CompanyID,CompanyName,Idea,Sector,SubSector,BusinessModel,FundingStage,FundingRaisedUSD_millions,MonthlyRevenueUSD_thousands,MonthlyBurnUSD_thousands,MonthlyGrowthPercent,TeamSize,FoundersAvgExperienceYears,MarketSizeUSD_billions,TAMGrowthPercent,ProductDifferentiationScore,CompetitiveMoatScore,RegulatoryRiskScore,LocationCountry,RiskScore
147,OmicronNetworks,Digital Pharmacy solution in the HealthTech space,HealthTech,Digital Pharmacy,B2C Subscription,Series A,24.35,430.08,544.37,-2.61,54,8.6,33.69,8,2,3,8,Brazil,70.74
148,CoreMobility,VR/AR Games solution in the Gaming space,Gaming,VR/AR Games,Marketplace,Series B,93.55,589.55,664.93,9.19,122,7.2,123.97,4.44,6,3,8,India,63.44
149,SigmaAI,Autonomous Vehicles solution in the Mobility space,Mobility,Autonomous Vehicles,Hybrid,Pre-Seed,19.25,19.51,16.71,20.15,7,5.4,199.27,6.79,9,2,5,Brazil,52.44
150,BetaEnergy,EV solution in the Mobility space,Mobility,EV,Marketplace,Pre-Seed,5.48,136.35,143.64,22.25,4,5.9,72.39,12.32,2,10,10,Israel,60.57
151,CoreCloud,OT Security solution in the Cybersecurity space,Cybersecurity,OT Security,Freemium SaaS,Series B,63.11,558.21,780.56,12.04,99,9.7,121.49,10.79,8,10,4,Singapore,44.19
152,OrbitDynamics,VR/AR Games solution in the Gaming space,Gaming,VR/AR Games,B2B SaaS,Seed,33.42,68.76,123.9,19.93,12,6.6,68.18,12.2,6,2,9,UK,65.71
153,PioneerFoods,Lending solution in the FinTech space,FinTech,Lending,Hybrid,Seed,15.77,134.1,22.24,28.01,14,2.3,45.68,9.78,3,6,6,Canada,58.97
154,NovaMobility,OT Security solution in the Cybersecurity space,Cybersecurity,OT Security,B2B SaaS,Series A,18.03,309.49,400.23,33.62,56,3.8,83.16,12.92,6,2,6,India,61.51
155,SigmaAI,Supply Chain solution in the Agritech space,Agritech,Supply Chain,Freemium SaaS,Series B,142.44,503.13,541.09,18.49,115,4.9,104.58,5.88,10,3,6,India,53.11
156,QuantumRobotics,Esports solution in the Gaming space,Gaming,Esports,Freemium SaaS,Series A,37.23,351.65,412.23,11.31,57,6.8,97.63,3.74,7,3,10,India,65.59
157,NovaDynamics,Subscription Box solution in the E-commerce space,E-commerce,Subscription Box,Freemium SaaS,Series A,23.68,281.08,193.73,13.39,55,6.7,28.8,11.77,9,2,7,Israel,56.14
158,QuantumRobotics,Vision solution in the AI/ML space,AI/ML,Vision,B2C Subscription,Series C,22.69,1017.67,1227.28,5.24,238,4.2,51.41,5.54,6,8,4,Germany,54.61
159,GammaRobotics,Workforce Upskilling solution in the EdTech space,EdTech,Workforce Upskilling,B2B SaaS,Seed,5.79,178.41,187.79,19.86,14,0.5,180.17,2.28,9,9,1,Singapore,37.92
160,SparkLogistics,Esports solution in the Gaming space,Gaming,Esports,B2C Subscription,Pre-Seed,3.25,62.35,79.19,27.02,7,4.2,113.94,8.03,10,3,8,USA,56.15
161,LambdaFoods,Cloud Security solution in the Cybersecurity space,Cybersecurity,Cloud Security,Hybrid,Seed,7.88,117.4,100.46,16.85,15,5.3,113.12,8.8,8,4,9,Germany,59.34
162,ThetaEnergy,Subscription Box solution in the E-commerce space,E-commerce,Subscription Box,Freemium SaaS,Series B,38.1,585.22,709.88,18.79,101,9.6,97.97,4.16,8,8,5,Australia,45.66
163,ZetaNetworks,Supply Chain solution in the Agritech space,Agritech,Supply Chain,Hybrid,Pre-Seed,5.16,150.5,269.09,9.66,5,2.7,53.21,4.14,5,1,8,Singapore,72.57
164,OrbitSystems,Precision Farming solution in the Agritech space,Agritech,Precision Farming,Marketplace,Pre-Seed,11.96,108.1,91.3,5.54,8,4.2,93.86,13.82,3,5,8,Israel,65.3
165,GammaAnalytics,Language Learning solution in the EdTech space,EdTech,Language Learning,Hardware,Series B,47.26,759.66,926.53,7.48,132,6.2,58.85,12.31,1,7,1,Australia,54.61
166,LambdaLogistics,Ag Robotics solution in the Agritech space,Agritech,Ag Robotics,B2B SaaS,Seed,2.34,193.66,286.39,15.53,27,6.6,33.28,11.05,1,6,2,Singapore,54.78
167,BetaRobotics,Workforce Upskilling solution in the EdTech space,EdTech,Workforce Upskilling,Hardware,Series A,12,351.5,405.06,10.96,43,4.1,89.18,10,3,8,8,Netherlands,61.94
168,AlphaAI,Payments solution in the FinTech space,FinTech,Payments,B2C Subscription,Series B,76.62,601.21,792.06,14.2,124,6.9,176.62,7.56,9,10,9,Australia,53.63
169,LambdaRobotics,Wearables solution in the HealthTech space,HealthTech,Wearables,B2B SaaS,Pre-Seed,19.1,179.48,244.36,23.26,10,3.8,165.99,6.36,7,10,8,India,52.27
170,SparkCloud,Biotech solution in the HealthTech space,HealthTech,Biotech,B2B SaaS,Series A,3.35,327.29,350.75,9.35,47,5.2,150.27,10.46,10,4,3,Canada,45.87
171,SparkEnergy,Network Security solution in the Cybersecurity space,Cybersecurity,Network Security,B2C Subscription,Series A,5.96,362.19,429.48,27.25,40,8.4,15.79,4.27,3,2,9,Singapore,68.49
172,ApexGaming,Telemedicine solution in the HealthTech space,HealthTech,Telemedicine,B2B SaaS,Series A,8.19,279.9,362.09,9.91,53,7.6,103.51,5.97,6,5,1,Singapore,46.27
173,LambdaSystems,Wearables solution in the HealthTech space,HealthTech,Wearables,Hybrid,Series A,45.74,234.16,317.17,21.67,53,6.5,112.97,3.44,6,3,1,Singapore,48.95
174,ZetaFoods,Ag Robotics solution in the Agritech space,Agritech,Ag Robotics,Freemium SaaS,Seed,12.43,14.76,0,21.41,13,6.2,10.32,11.62,3,3,2,Brazil,53.21
175,ThetaHealth,InsurTech solution in the FinTech space,FinTech,InsurTech,B2C Subscription,Series B,45.72,621.08,723.53,22.51,138,7.8,57.74,13.35,6,5,9,Australia,61.47
176,OmicronHealth,Supply Chain solution in the Agritech space,Agritech,Supply Chain,Freemium SaaS,Pre-Seed,4.85,66.98,48.09,10.89,4,4.2,60.85,5.9,6,1,6,Canada,62.26
177,VertexLogistics,Wearables solution in the HealthTech space,HealthTech,Wearables,Freemium SaaS,Seed,15.8,185.53,217.41,18.31,24,4.1,14.6,12.81,7,6,3,Brazil,47.55
178,OrbitAI,Micro-mobility solution in the Mobility space,Mobility,Micro-mobility,B2B SaaS,Series A,50.88,253.63,316.27,24.75,60,7,104.45,7.6,2,7,10,UK,65.65
179,NovaSystems,Ag Robotics solution in the Agritech space,Agritech,Ag Robotics,B2B SaaS,Seed,4.38,8.47,35.72,33.74,27,7.2,119.16,11.13,5,5,8,Netherlands,58.04
180,PioneerEnergy,Identity solution in the Cybersecurity space,Cybersecurity,Identity,Hardware,Pre-Seed,21.16,53.77,0,17.54,9,2.3,95.55,2.59,6,10,7,Canada,51.52
181,ApexEnergy,Payments solution in the FinTech space,FinTech,Payments,Hybrid,Series B,38.73,565.38,608.14,14.17,123,6.2,3.09,2.1,3,1,3,Netherlands,60.22
182,EpsilonLabs,EV solution in the Mobility space,Mobility,EV,B2C Subscription,Series A,6.26,284.54,303.84,18.19,50,8.7,186.49,7.16,6,6,7,Netherlands,53.23
183,PioneerEnergy,Lending solution in the FinTech space,FinTech,Lending,Marketplace,Seed,8.76,62.4,58.93,12.04,20,7.8,198.58,3.71,2,10,3,Israel,45.95
184,NovaAI,Autonomous Systems solution in the AI/ML space,AI/ML,Autonomous Systems,B2C Subscription,Series C,52.01,964.58,1081.81,-3.03,275,2.8,122.37,6.02,1,3,8,Israel,76.72
185,OmicronAI,Network Security solution in the Cybersecurity space,Cybersecurity,Network Security,Freemium SaaS,Seed,5.02,107.34,209.42,28.97,14,0.5,25.96,7.45,10,5,8,Germany,58.29
186,GammaFoods,Digital Pharmacy solution in the HealthTech space,HealthTech,Digital Pharmacy,B2C Subscription,Series B,30.71,593.44,715.97,12.75,142,4.7,136.38,6.7,8,2,6,Singapore,60.88
187,SigmaSolutions,Wearables solution in the HealthTech space,HealthTech,Wearables,Freemium SaaS,Series A,18.56,300.94,396.54,17.33,52,4.8,180.69,2.86,3,6,9,Germany,67.03
188,EpsilonAnalytics,Digital Pharmacy solution in the HealthTech space,HealthTech,Digital Pharmacy,Hardware,Pre-Seed,9.87,0,5.43,19.67,5,3.6,69.95,11.48,9,10,6,Brazil,44
189,SparkLabs,Vertical Farming solution in the Agritech space,Agritech,Vertical Farming,B2B SaaS,Seed,16.05,121.36,113.32,37.75,22,6,90.39,12.38,8,9,7,Australia,45.23
190,EpsilonBiotech,Mobile Games solution in the Gaming space,Gaming,Mobile Games,Freemium SaaS,Pre-Seed,4.32,64.43,90.33,18.66,9,5.6,178.24,6.5,8,9,6,UK,46.21
191,EpsilonFinance,Vertical Farming solution in the Agritech space,Agritech,Vertical Farming,Hybrid,Series B,155.75,669.78,775.63,12.91,117,7.9,74.19,4.83,1,2,9,UK,74.46
192,ZetaBiotech,D2C solution in the E-commerce space,E-commerce,D2C,Freemium SaaS,Pre-Seed,26.91,48.68,72.42,11.9,5,4.8,8.13,7.04,9,5,2,Canada,43.92
193,EpsilonRobotics,Battery Storage solution in the CleanTech space,CleanTech,Battery Storage,Hybrid,Seed,6.01,179.93,243.96,17.05,17,6.3,196.83,5.75,9,3,10,Netherlands,62.49
194,SparkMobility,Workforce Upskilling solution in the EdTech space,EdTech,Workforce Upskilling,Marketplace,Series B,73.38,594.63,735.94,-0.71,121,3.7,111.63,9.04,10,1,1,India,52.04
195,ThetaComms,InsurTech solution in the FinTech space,FinTech,InsurTech,Hardware,Series A,33.46,325.04,300,9.57,45,5.7,55.51,14.56,1,8,9,Canada,64.27
196,LambdaLogistics,Subscription Box solution in the E-commerce space,E-commerce,Subscription Box,Marketplace,Seed,5.06,1.04,38.64,9.27,19,4.5,98.8,7.22,1,3,8,Australia,71.83
197,ThetaBiotech,Autonomous Vehicles solution in the Mobility space,Mobility,Autonomous Vehicles,Hybrid,Pre-Seed,17.83,147.92,116.03,24.97,8,3.3,159.25,5.58,6,6,7,UK,56.03
198,NovaAnalytics,Vision solution in the AI/ML space,AI/ML,Vision,Hardware,Pre-Seed,9.25,43.77,0,19.87,12,4.8,165.85,11.94,8,4,3,India,47.41
199,ApexMobility,InsurTech solution in the FinTech space,FinTech,InsurTech,Hardware,Pre-Seed,11.52,54.48,55.51,18.49,10,7.9,145.1,11,3,6,10,Singapore,63.76
200,NimbusEdu,Wind solution in the CleanTech space,CleanTech,Wind,Hardware,Seed,6.09,79.5,58.05,31.45,17,2.9,191.57,2.12,5,8,1,India,42.18
201,LambdaNetworks,OT Security solution in the Cybersecurity space,Cybersecurity,OT Security,Hybrid,Seed,4.81,142.83,197.15,27.16,24,5.2,123.49,3.15,1,5,8,Netherlands,67.01
202,FusionTech,Micro-mobility solution in the Mobility space,Mobility,Micro-mobility,B2B SaaS,Seed,10.59,58.99,69.59,3.6,11,0.7,23.98,12.51,5,6,7,Singapore,61.93
203,BetaComms,WealthTech solution in the FinTech space,FinTech,WealthTech,Hybrid,Pre-Seed,7.57,80.43,73.35,17.81,6,2.5,161.09,14.08,9,5,2,Australia,44.34
204,FusionAI,Supply Chain solution in the Agritech space,Agritech,Supply Chain,Hybrid,Series A,9.47,341.47,400.07,12.35,44,2,195.84,9.85,2,3,2,Australia,60.52
205,FusionEnergy,MLOps solution in the AI/ML space,AI/ML,MLOps,B2C Subscription,Pre-Seed,21.94,0,0,21.84,10,2.5,100.35,5.7,9,7,9,USA,54.94
206,EpsilonBiotech,Payments solution in the FinTech space,FinTech,Payments,Hardware,Seed,15.06,116.76,92.74,13.74,17,4,14.41,12.91,3,10,9,UK,59.13
207,ZetaLogistics,MLOps solution in the AI/ML space,AI/ML,MLOps,Hybrid,Series A,10.11,356.28,413.89,7.22,45,8.1,178.59,7.64,5,10,6,Israel,49.43
208,CoreRobotics,Supply Chain solution in the Agritech space,Agritech,Supply Chain,Hardware,Series B,32.11,588.69,744.23,14.34,116,10,141.36,2.06,6,6,2,Australia,46.73
209,AlphaMobility,Game Engines solution in the Gaming space,Gaming,Game Engines,Hardware,Seed,11.22,59.18,80.59,20.68,23,4.4,129.54,2.63,10,10,4,USA,38.27
210,ZetaEdu,VR/AR Games solution in the Gaming space,Gaming,VR/AR Games,Freemium SaaS,Series A,15.99,320.4,378.23,-13.33,49,6,75,6.81,7,3,4,USA,56.57
211,ThetaTech,Mobile Games solution in the Gaming space,Gaming,Mobile Games,Hardware,Seed,19.85,84,80.97,24.83,22,3.5,136.21,9.9,3,7,4,Australia,52.89
212,BetaDynamics,Supply Chain solution in the Agritech space,Agritech,Supply Chain,Hybrid,Pre-Seed,9.9,12.9,0,32.75,8,5.6,24.08,8.71,6,8,9,Australia,54.52
213,PioneerCloud,NLP solution in the AI/ML space,AI/ML,NLP,Marketplace,Seed,13.37,74.34,77.78,10.06,20,8.8,3.96,8.03,5,10,8,Germany,51
214,FusionRobotics,Battery Storage solution in the CleanTech space,CleanTech,Battery Storage,B2C Subscription,Series B,102.28,601.12,748.7,3.19,129,8.2,105.22,14.69,5,5,4,Brazil,55.96
215,QuantumCloud,Autonomous Systems solution in the AI/ML space,AI/ML,Autonomous Systems,Freemium SaaS,Seed,12.66,129.59,137.81,14.26,24,1.5,2.27,5.9,2,10,9,Australia,62.7
216,EpsilonRobotics,Cloud Security solution in the Cybersecurity space,Cybersecurity,Cloud Security,B2B SaaS,Seed,2.28,108.24,132.43,21.73,24,4.5,80.81,5.94,2,6,8,Canada,64.18
217,ThetaCloud,Ride-sharing solution in the Mobility space,Mobility,Ride-sharing,Marketplace,Series B,50.27,517.84,612.62,31.61,143,6,192.63,2.98,5,3,2,Netherlands,52.18
218,LambdaHealth,Esports solution in the Gaming space,Gaming,Esports,Freemium SaaS,Series B,65.66,536.99,613.57,11.25,124,5.4,116.5,3.91,4,4,1,India,52.12
219,NimbusSystems,Cloud Security solution in the Cybersecurity space,Cybersecurity,Cloud Security,Freemium SaaS,Series A,29.92,357.01,507.44,4.85,45,5.5,95.06,13.57,1,9,3,Australia,55.9
220,ThetaRobotics,Autonomous Vehicles solution in the Mobility space,Mobility,Autonomous Vehicles,Marketplace,Seed,10.73,84.01,108.4,11.65,20,8.2,101.12,10.84,1,2,10,Germany,73.92
221,ZetaFinance,Precision Farming solution in the Agritech space,Agritech,Precision Farming,B2C Subscription,Series B,46.9,582.13,689.54,28.73,121,3.2,11.9,12.97,1,7,8,UK,66.95
222,AlphaRobotics,Marketplace solution in the E-commerce space,E-commerce,Marketplace,Hybrid,Series A,16.23,278.54,363.68,-0.98,49,6.9,16.47,10.09,6,5,8,Israel,61.98
223,EpsilonEdu,Supply Chain solution in the Agritech space,Agritech,Supply Chain,Hardware,Seed,10.39,100.96,89.08,24.88,20,5.4,133.99,4.12,2,6,3,Brazil,52.46
224,AlphaBiotech,D2C solution in the E-commerce space,E-commerce,D2C,Marketplace,Series A,7.14,374.21,466.83,11.87,63,6,127.6,4.89,4,3,10,Australia,71.59
225,GammaLogistics,Cloud Security solution in the Cybersecurity space,Cybersecurity,Cloud Security,Freemium SaaS,Pre-Seed,14.97,27.4,9.38,22.66,5,5.5,198.66,2.58,3,8,6,Germany,54.11
226,ApexAnalytics,InsurTech solution in the FinTech space,FinTech,InsurTech,Hardware,Series A,17.37,267.53,387.1,29.2,52,4.8,157.93,5.26,6,5,10,Netherlands,65.57
227,QuantumAnalytics,InsurTech solution in the FinTech space,FinTech,InsurTech,B2B SaaS,Series A,4.15,344.63,353,22.31,39,5.2,190.19,9.56,8,5,3,Australia,45.62
228,DeltaRobotics,Ag Robotics solution in the Agritech space,Agritech,Ag Robotics,Marketplace,Series A,34.78,398.82,400.37,31.17,45,6.2,179.03,14.3,4,3,8,UK,62.78
229,VertexCloud,Micro-mobility solution in the Mobility space,Mobility,Micro-mobility,Hardware,Series A,17.27,346.08,408.92,30.11,50,3.5,67.65,13.12,4,4,10,India,69.25
230,OrbitEnergy,Supply Chain solution in the Agritech space,Agritech,Supply Chain,B2B SaaS,Series B,73.03,469.79,573.7,19.37,114,6.8,154.68,10.51,2,1,9,Israel,74.58
231,ZetaBiotech,Wind solution in the CleanTech space,CleanTech,Wind,Hybrid,Seed,1.78,115.98,113.97,19.18,14,2.6,194.67,4.94,4,10,8,India,56.13
232,BetaFoods,Supply Chain solution in the Agritech space,Agritech,Supply Chain,B2C Subscription,Seed,7.59,45.64,0.48,26.79,23,1.7,85.68,5.94,8,10,1,Israel,36.05
233,AlphaLogistics,Micro-mobility solution in the Mobility space,Mobility,Micro-mobility,Marketplace,Series B,141.92,550.94,637.91,19.62,116,4.8,118.95,10.59,4,10,2,USA,45.05
234,GammaCloud,Cloud Security solution in the Cybersecurity space,Cybersecurity,Cloud Security,B2B SaaS,Series B,170.36,604.27,684.71,6.7,130,7,190.54,2.55,2,8,1,Canada,48.49
235,EpsilonFinance,Identity solution in the Cybersecurity space,Cybersecurity,Identity,Marketplace,Series C,91.87,924.85,1162.42,5.02,263,10,75.12,14.13,7,8,7,Australia,55.63
236,QuantumSystems,Digital Pharmacy solution in the HealthTech space,HealthTech,Digital Pharmacy,B2C Subscription,Series C,657.16,1026.73,1276.46,11.79,277,9.6,146.34,13.2,7,9,3,Germany,46.11
237,SigmaFoods,Payments solution in the FinTech space,FinTech,Payments,Freemium SaaS,Series A,39.3,269.14,295.05,4,59,6.9,189.52,8.45,7,9,7,Germany,50.2
238,QuantumDynamics,Carbon Capture solution in the CleanTech space,CleanTech,Carbon Capture,Marketplace,Pre-Seed,28.21,0,0,26.96,3,5.7,141.33,14.61,2,1,7,Netherlands,67.53
239,ThetaLabs,Lending solution in the FinTech space,FinTech,Lending,B2B SaaS,Series A,5.96,282.15,383.1,20.75,34,7.4,37.49,12.4,8,10,1,Germany,35.4
240,PioneerAnalytics,WealthTech solution in the FinTech space,FinTech,WealthTech,Hybrid,Pre-Seed,10.35,0,54.86,15.21,9,2.3,135.46,2.67,1,3,9,Canada,75.4
241,CoreMobility,Battery Storage solution in the CleanTech space,CleanTech,Battery Storage,Freemium SaaS,Series B,13.18,620.43,693.05,1.47,124,4.7,15.53,12.19,4,5,3,Israel,56.01
242,SigmaAI,Carbon Capture solution in the CleanTech space,CleanTech,Carbon Capture,B2B SaaS,Series A,68.51,273.21,242.48,3.83,35,8.5,189,10.34,10,3,7,Israel,52.74
243,QuantumLogistics,EV solution in the Mobility space,Mobility,EV,Hybrid,Seed,18.06,172.42,188.92,6.74,23,2.1,87.54,14.74,7,7,3,Canada,48.25
244,FusionGaming,Identity solution in the Cybersecurity space,Cybersecurity,Identity,B2C Subscription,Series B,25.39,601.64,684.04,12.7,128,4.2,85.7,6.5,5,3,8,USA,67.05
245,VertexCloud,Supply Chain solution in the Agritech space,Agritech,Supply Chain,Hybrid,Pre-Seed,2.23,17.5,16.83,5.5,6,3.8,20.23,9.79,4,5,4,Singapore,56.1
246,QuantumLabs,Biotech solution in the HealthTech space,HealthTech,Biotech,Hybrid,Series A,23.3,374.93,512.3,26.9,52,8,55.68,9.77,4,1,5,Australia,62.93
247,GammaNetworks,Mobile Games solution in the Gaming space,Gaming,Mobile Games,Hybrid,Series A,16.91,313.84,459.82,22.25,54,6.1,52.11,7.85,9,4,8,Germany,59.08
248,AlphaNetworks,MLOps solution in the AI/ML space,AI/ML,MLOps,B2C Subscription,Series C,44.49,994.51,1218.29,11.15,226,6.8,87.85,3.2,2,8,4,Netherlands,58.5
249,LambdaCloud,Carbon Capture solution in the CleanTech space,CleanTech,Carbon Capture,Marketplace,Series A,25.87,309.48,291.1,10.61,49,6,123.43,10.29,7,8,9,Singapore,54.94
250,QuantumEdu,Social Commerce solution in the E-commerce space,E-commerce,Social Commerce,Hardware,Seed,6.89,140.38,119.79,23.59,16,5.1,51.02,2.81,8,6,4,Singapore,45.82
251,BetaComms,Autonomous Systems solution in the AI/ML space,AI/ML,Autonomous Systems,B2C Subscription,Series A,78.57,284.96,422.7,24.97,58,3.2,124.12,11.66,1,5,9,Netherlands,73.24
252,SigmaDynamics,VR/AR Games solution in the Gaming space,Gaming,VR/AR Games,B2C Subscription,Seed,8.72,107.72,214.86,18.15,28,2.8,108.59,5.5,7,10,4,Brazil,46.8
253,OmicronGaming,Ag Robotics solution in the Agritech space,Agritech,Ag Robotics,Freemium SaaS,Series A,38.41,286.52,399.17,21.41,49,7.7,86.67,7.75,8,8,3,Singapore,42.46
254,FusionGaming,Workforce Upskilling solution in the EdTech space,EdTech,Workforce Upskilling,B2C Subscription,Series B,24.19,626.92,761.52,10.21,120,2.5,99.24,14.05,9,1,9,USA,69.14
255,AlphaFinance,Telemedicine solution in the HealthTech space,HealthTech,Telemedicine,B2C Subscription,Series B,66.8,581.19,784.89,4.82,112,7.1,176.57,12.58,4,2,3,USA,62.3
256,QuantumHealth,Carbon Capture solution in the CleanTech space,CleanTech,Carbon Capture,Hybrid,Series A,8.75,265.28,334.83,4.92,44,3.8,108.04,6.64,10,8,8,USA,52.74
257,AlphaTech,WealthTech solution in the FinTech space,FinTech,WealthTech,Hybrid,Series A,46.49,276.66,298.59,25.06,46,7.4,175.51,3.33,9,5,1,Israel,38.6
258,DeltaSystems,Identity solution in the Cybersecurity space,Cybersecurity,Identity,Hybrid,Pre-Seed,7.44,103.24,16.87,5.99,11,4,25.28,4.15,4,10,9,Canada,58.4
259,ApexLabs,MLOps solution in the AI/ML space,AI/ML,MLOps,Marketplace,Series C,59.72,1087.23,1290.63,19.25,243,6.2,122.34,5.19,8,10,4,Germany,45.53
260,BetaLabs,Marketplace solution in the E-commerce space,E-commerce,Marketplace,Hardware,Seed,2.18,92.7,81.59,12.63,31,2.6,112.26,7.41,9,8,1,USA,38.29
261,NimbusFinance,K-12 solution in the EdTech space,EdTech,K-12,Freemium SaaS,Series A,58.75,183.47,274.46,25.55,42,8,127.02,8.92,10,2,9,USA,59.17
262,CoreGaming,Wind solution in the CleanTech space,CleanTech,Wind,Marketplace,Pre-Seed,6.09,62.59,29.26,16.64,7,2.4,5.59,12.31,2,5,9,Netherlands,69.04
263,NovaTech,Lending solution in the FinTech space,FinTech,Lending,B2C Subscription,Series A,19.36,261.75,415.53,24.58,54,8.5,164.63,12.96,7,2,5,UK,57.28
264,CoreLogistics,Esports solution in the Gaming space,Gaming,Esports,Freemium SaaS,Series B,60.68,495.71,585.51,12.61,109,8.9,176.75,8.06,6,7,3,India,46.26
265,BetaSystems,Ag Robotics solution in the Agritech space,Agritech,Ag Robotics,Hardware,Pre-Seed,6.37,15.09,4.32,29.41,7,1.8,71.4,6.84,2,6,10,Netherlands,68.71
266,NovaTech,VR/AR Games solution in the Gaming space,Gaming,VR/AR Games,Freemium SaaS,Seed,4.26,90.66,77.91,37.62,22,3.4,3.66,4.83,8,8,4,Singapore,42.69
267,VertexSolutions,Supply Chain solution in the Agritech space,Agritech,Supply Chain,Freemium SaaS,Series A,16.99,405.51,500.04,30.13,52,7.5,104.57,3.82,7,2,10,Canada,65.7
268,GammaAI,Solar solution in the CleanTech space,CleanTech,Solar,B2C Subscription,Seed,12.17,153.71,260.76,12.79,24,5.1,131.52,13.56,3,7,6,Singapore,60.11
269,AlphaRobotics,Telemedicine solution in the HealthTech space,HealthTech,Telemedicine,Hardware,Seed,32.84,155.5,181.98,7.83,23,2.7,49.82,4.79,5,2,3,India,58.49
270,PioneerCloud,Language Learning solution in the EdTech space,EdTech,Language Learning,Hybrid,Seed,3.3,142.53,163.2,6.28,12,4.1,77.79,12.68,2,1,2,Singapore,61.42
271,SparkMobility,Precision Farming solution in the Agritech space,Agritech,Precision Farming,Marketplace,Series B,132.51,629.84,802.14,4.01,124,4.4,139.54,4.84,1,5,7,Australia,71.47
272,CoreEdu,Digital Pharmacy solution in the HealthTech space,HealthTech,Digital Pharmacy,B2C Subscription,Series A,12.33,223.7,299.33,25.45,56,7.1,39.17,3.15,3,3,5,Canada,60.4
273,EpsilonLabs,Subscription Box solution in the E-commerce space,E-commerce,Subscription Box,B2C Subscription,Seed,3.46,171.74,183.08,19.34,17,3.3,112.35,2.51,7,5,8,India,58.93
274,LambdaGaming,MLOps solution in the AI/ML space,AI/ML,MLOps,Hybrid,Series A,29.76,238.23,344.11,21.71,58,5.4,116.19,2.87,8,2,3,Canada,52.96
275,NovaMobility,WealthTech solution in the FinTech space,FinTech,WealthTech,Hardware,Series B,138.26,559.44,689.76,18.16,92,8.4,114.1,6.07,6,8,6,Australia,51.79
276,SigmaBiotech,Esports solution in the Gaming space,Gaming,Esports,Hybrid,Series B,33.85,539.93,682.51,28.35,124,7.3,125.67,13.24,4,8,6,UK,54.97
277,SigmaGaming,Cloud Security solution in the Cybersecurity space,Cybersecurity,Cloud Security,Hybrid,Series A,74.23,387.74,553.73,10.08,48,7.4,185.97,6.44,6,7,5,Australia,53.92
278,CoreNetworks,Vision solution in the AI/ML space,AI/ML,Vision,Hybrid,Series C,62.01,926.46,1118.81,26.18,260,7.1,12.56,7.91,3,9,1,Brazil,46.83
279,SigmaLabs,Carbon Capture solution in the CleanTech space,CleanTech,Carbon Capture,Hardware,Series A,52.02,358.56,458.19,13.4,42,8.2,130.43,5.58,3,5,4,Canada,56.5
280,ApexLabs,Language Learning solution in the EdTech space,EdTech,Language Learning,Hardware,Series C,129.3,1020.21,1173.15,2.94,260,6.7,134.22,12.89,8,10,7,Israel,51.27
281,FusionHealth,Supply Chain solution in the Agritech space,Agritech,Supply Chain,Marketplace,Series A,30.52,366.54,482.17,20,51,3.8,115.38,5.6,9,10,2,India,39.12
282,ZetaMobility,Battery Storage solution in the CleanTech space,CleanTech,Battery Storage,B2B SaaS,Series A,15.64,307.56,407.34,-2.39,34,8.2,85.82,3.1,7,6,7,India,56.58
283,OmicronAnalytics,Payments solution in the FinTech space,FinTech,Payments,Hybrid,Series A,42.32,313.06,392.27,22.99,60,4.2,160.92,14.96,9,10,10,Germany,53.43
284,ApexFoods,Micro-mobility solution in the Mobility space,Mobility,Micro-mobility,Freemium SaaS,Series A,44.56,314.43,381.05,26.92,36,5.8,15.27,14.68,9,3,6,USA,53.96
285,SigmaFinance,EV solution in the Mobility space,Mobility,EV,B2B SaaS,Pre-Seed,9.72,65.42,45.19,18.22,5,0.6,160.06,6.24,3,6,5,Singapore,59.23
286,OrbitGaming,Ride-sharing solution in the Mobility space,Mobility,Ride-sharing,Marketplace,Seed,5.1,49.25,21.04,16.18,18,2.8,14.39,4.74,8,8,6,India,49.28
287,DeltaTech,Marketplace solution in the E-commerce space,E-commerce,Marketplace,Marketplace,Series A,14.83,316.6,423.98,11.2,42,2.2,113.55,12.45,3,4,9,UK,72.95
288,NovaCloud,Vertical Farming solution in the Agritech space,Agritech,Vertical Farming,Hardware,Series C,48.42,1011.82,1161.03,3.34,256,6,98.59,3.07,4,7,3,UK,54.14
289,AlphaMobility,OT Security solution in the Cybersecurity space,Cybersecurity,OT Security,B2C Subscription,Seed,1.63,80.31,37.08,-3.22,23,6.3,172.72,6.08,7,7,1,Germany,41.6
290,GammaComms,Battery Storage solution in the CleanTech space,CleanTech,Battery Storage,B2B SaaS,Series A,34.65,361.19,440.27,3.16,50,5,99.53,8.28,9,3,6,Singapore,57.31
291,DeltaAI,Carbon Capture solution in the CleanTech space,CleanTech,Carbon Capture,Freemium SaaS,Series B,38.88,651.79,768.49,25.54,114,5,40.89,14.37,9,6,10,Australia,59.7
292,CoreSystems,VR/AR Games solution in the Gaming space,Gaming,VR/AR Games,Marketplace,Seed,9.74,113.1,72.96,16.49,22,9.4,111.43,6.84,8,10,3,Canada,35.3
293,EpsilonBiotech,Mobile Games solution in the Gaming space,Gaming,Mobile Games,B2B SaaS,Pre-Seed,3.62,70.1,19.54,22.91,8,6.4,74.74,3.13,2,3,6,UK,62.41
